what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314599413114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599415329
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599539647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314599539793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599544012
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314599566586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599571090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314599571156
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314599572051
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314599572726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599573434
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599586932
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314599589647
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314599592148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599595817
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314599605034
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314599611400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599614328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314599614427
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314599616274
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildAll",1314599621522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599621924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599627579
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314599631259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314599635459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599640320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599668072
error,log,,,"Program is not a recognized executable.",1314599670439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599670936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599675201
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1314599677385
error,log,,,"Program is not a recognized executable.",1314599679190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599679393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599680965
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314599683674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314599691914
